"","Wage","Age","Potential","Special","Acceleration","Aggression","Agility","Balance","Ball.control","Composure","Crossing","Curve","Dribbling","Finishing","Free.kick.accuracy","GK.diving","GK.handling","GK.kicking","GK.positioning","GK.reflexes","Heading.accuracy","Interceptions","Jumping","Long.passing","Long.shots","Marking","Penalties","Positioning","Reactions","Short.passing","Shot.power","Sliding.tackle","Sprint.speed","Stamina","Standing.tackle","Strength","Vision","Volleys","CAM","CB","CDM","CF","CM","LAM","LB","LCB","LCM","LDM","LF","LM","LS","LW","LWB","RAM","RB","RCB","RCM","RDM","RF","RM","RS","RW","RWB","ST"
"Cristiano Ronaldo Real Madrid CF",3.63331509779586,1.58567015929036,3.79488341789221,3.45390288338404,1.71285259213974,0.643555319885948,1.9447881267735,-0.0882151879482014,3.3513580564158,3.40284710169486,2.81538673822511,2.30520742927198,3.12004429899359,3.5096887432661,2.24827396531508,-1.12703048852566,0.129678440103669,1.34548416232007,1.09657481210837,0.146509332351294,2.34757884541914,0.194607053813244,2.46327439141822,2.68174948391275,3.63947195198948,-0.0949165473388586,2.54867672913648,3.12083957857253,3.6294654115713,2.62793041867993,2.94753202084367,-0.037490037078704,1.92787812278646,2.68494028578232,0.476179940084992,0.886872145409664,3.00180897194626,2.63720399531042,3.69957699500163,1.53416581528683,2.32050486179855,3.82124244178831,3.45964781686673,3.69957699500163,2.38123797863119,1.53416581528683,3.45964781686673,2.32050486179855,3.82124244178831,3.73758468555779,3.87494032590932,3.90056193734216,2.71403178161756,3.69957699500163,2.38123797863119,1.53416581528683,3.45964781686673,2.32050486179855,3.82124244178831,3.73758468555779,3.87494032590932,3.90056193734216,2.71403178161756,3.87494032590932
"L. Suárez FC Barcelona",3.55361172424358,1.14689512160329,3.4618302286129,3.80409826469598,1.62739548143359,1.57806877961123,1.68486140680902,-0.331923246529048,3.11829967073716,2.21349181652404,2.21654483733035,2.6982931925099,2.55998328354536,3.5096887432661,2.82843912092313,5.23713489399403,4.6166116815902,6.26708620907481,7.1342678781073,8.16889291022515,1.33081839360128,1.26622453114857,0.159224615862693,1.58195436487088,2.97128724644148,0.759529710410119,2.54867672913648,2.80938859269581,3.30960085828416,2.62793041867993,2.20302214941438,1.5436644488056,0.654501367972505,2.39121629332546,1.79126094090286,0.886872145409664,2.90093954320666,2.63720399531042,3.43215852867512,2.24512711288005,2.72977220219343,3.40697845588564,3.19911676333479,3.43215852867512,2.82687102972349,2.24512711288005,3.19911676333479,2.72977220219343,3.40697845588564,3.20633444548474,3.30919838504487,3.36035937253514,2.99971239262505,3.43215852867512,2.82687102972349,2.24512711288005,3.19911676333479,2.72977220219343,3.40697845588564,3.20633444548474,3.30919838504487,3.36035937253514,2.99971239262505,3.30919838504487
"R. Lewandowski FC Bayern Munich",3.27166115350414,0.708120083916222,3.29530363397325,2.98141705145523,0.858281485078272,1.70267057424127,0.991723486903738,1.29279714400993,2.88524128505852,2.60994357824765,1.09371627315266,1.99073881868165,2.44797108045571,3.12894634064191,2.82843912092313,1.41863566448222,-1.47279771757009,0.42268377855356,-0.810065103470233,-0.162043882182316,2.0702805403779,1.08762161825935,1.48848410176011,1.66655398941256,2.63719489366748,0.225500799317008,2.08980894380754,2.70557159740357,3.0963578227594,2.62793041867993,2.30938070247571,-0.459131233314519,1.20023426289277,1.41213631846926,1.50945786929903,1.19428139850155,2.29572297076907,2.54897525224725,3.03103082918535,2.10293485336141,2.32050486179855,3.26889046058474,2.93858570980285,3.03103082918535,1.93560492753888,2.10293485336141,2.93858570980285,2.32050486179855,3.26889046058474,2.80789676542996,3.30919838504487,2.95520744892987,1.99983025409884,3.03103082918535,1.93560492753888,2.10293485336141,2.93858570980285,2.32050486179855,3.26889046058474,2.80789676542996,3.30919838504487,2.95520744892987,1.99983025409884,3.30919838504487
"S. Agüero Manchester City",3.20294838412213,0.927507602759757,2.96225044469394,2.59786972906597,1.79830970284589,0.643555319885948,1.68486140680902,2.18639335880637,2.88524128505852,2.90728239954035,1.69255817404743,2.38382458191956,2.8960198928143,3.00203220643384,1.95819138751105,0.782219126230249,1.41165936624268,-1.42291698897947,0.14325485431907,1.07216897595212,0.498923478477577,-0.25190022840981,1.1340149055208,1.4973547403292,2.63719489366748,-1.05616858730646,2.31924283647201,2.70557159740357,2.88311478723464,2.20470127664006,2.30938070247571,-1.19700332672719,1.29118974537948,0.922596331041166,-0.557097989129048,0.425758265771835,2.80007011446706,2.3725177661209,3.16474006234861,0.254435479619042,1.22912528741223,3.26889046058474,2.54778912950495,3.16474006234861,1.04433882535427,0.254435479619042,2.54778912950495,1.22912528741223,3.26889046058474,3.07352188546648,3.02632741461265,3.22530873133338,1.42846903208387,3.16474006234861,1.04433882535427,0.254435479619042,2.54778912950495,1.22912528741223,3.26889046058474,3.07352188546648,3.02632741461265,3.22530873133338,1.42846903208387,3.02632741461265
"Z. Ibrahimović Manchester United",2.96699694756245,2.24383271582097,2.79572385005428,2.60342838591219,-0.509032286220079,1.95187416350134,1.25165020686822,-1.87540761754108,2.7687120922192,3.00639533997126,2.1416895997185,2.38382458191956,2.11193447118677,2.62128980380964,2.68339783202112,0.782219126230249,1.41165936624268,-0.192516477290781,-0.492291784207132,0.455062546884904,1.60811669864251,-0.609106054188254,0.159224615862693,2.59714985937106,2.85992312885014,-0.842557022869214,3.23697840712989,2.18648662094238,2.5632502339475,2.7337377041899,2.62845636165969,0.384151159157111,-0.255053456894607,0.628872338584307,1.41552351209776,1.50169065159344,2.80007011446706,2.81366148143677,2.89732159602209,1.39197355576819,2.04765996820197,2.71653847938118,2.93858570980285,2.89732159602209,1.34142752608247,1.39197355576819,2.93858570980285,2.04765996820197,2.71653847938118,2.54227164539343,2.74345644418042,2.68510616652636,1.57130933758761,2.89732159602209,1.34142752608247,1.39197355576819,2.93858570980285,2.04765996820197,2.71653847938118,2.54227164539343,2.74345644418042,2.68510616652636,1.57130933758761,2.74345644418042
"E. Cavani Paris Saint-Germain",2.65144809962864,1.14689512160329,2.62919725541463,2.72571883652906,0.516453042253684,1.95187416350134,1.25165020686822,-0.413159266055997,1.83647854950465,2.21349181652404,1.69255817404743,1.83350451338649,1.88791006500748,2.11363326697738,2.10323267641306,0.464010857104265,-1.79329294910485,0.730283906475731,0.778801492845273,-0.162043882182316,2.34757884541914,1.89133472626085,1.84295329799943,0.397559621287331,2.08037430571081,0.118695017098386,2.43395978280425,2.80938859269581,3.0963578227594,2.09889399113009,1.99030504329173,0.384151159157111,0.745456850459217,2.68494028578232,1.79126094090286,0.425758265771835,2.19485354202947,2.28428902305773,2.49619389653233,2.24512711288005,2.32050486179855,2.57845048408029,2.41752360273898,2.49619389653233,2.38123797863119,2.24512711288005,2.41752360273898,2.32050486179855,2.57845048408029,2.40945908537517,2.74345644418042,2.41500488412285,2.42835117061008,2.49619389653233,2.38123797863119,2.24512711288005,2.41752360273898,2.32050486179855,2.57845048408029,2.40945908537517,2.74345644418042,2.41500488412285,2.42835117061008,2.74345644418042
"H. Kane Tottenham Hotspur",2.67539581115088,-0.388817510301451,3.12877703933359,2.50337256268021,-0.0817467326893447,1.32886519035115,0.558512286962938,-0.16945120747515,2.06953693518329,2.31260475695494,1.69255817404743,1.51903590279616,1.66388565882819,3.00203220643384,1.52306752080501,-0.808822219399673,-0.190816791431084,0.11508365063139,1.09657481210837,0.146509332351294,1.88541500368375,0.73041579248091,0.247841914922521,1.83575323849593,2.74855901125881,1.93439331481496,2.43395978280425,2.49793760681909,2.66987175170988,1.78147213460018,2.20302214941438,1.5436644488056,0.381634920512372,1.99958430338298,0.945851726091374,1.34798602504749,1.99311468455027,1.31377284936284,2.36248466336907,2.10293485336141,2.32050486179855,2.57845048408029,2.41752360273898,2.36248466336907,2.23269362826709,2.10293485336141,2.41752360273898,2.32050486179855,2.57845048408029,2.27664652535691,2.74345644418042,2.27995424292109,2.14267055960259,2.36248466336907,2.23269362826709,2.10293485336141,2.41752360273898,2.32050486179855,2.57845048408029,2.27664652535691,2.74345644418042,2.27995424292109,2.14267055960259,2.74345644418042
"R. Lukaku Manchester United",2.86307758122717,-0.169429991457917,3.12877703933359,2.16985315190693,0.601910152959831,1.20426339572112,-0.394552352906823,-1.38799150037938,1.25383258530805,2.31260475695494,1.54284769882374,1.59765305544374,1.55187345573854,2.87511807222577,1.52306752080501,-0.808822219399673,1.41165936624268,1.0378840343979,-1.12783842273333,-0.162043882182316,2.25514607707206,0.0160041409240225,0.336459213982349,1.92035286303761,1.74628195293681,0.439112363754252,2.20452589013978,2.29030361623461,2.45662871618512,1.3582429925603,2.30938070247571,0.700382056333972,1.74596715781304,1.51004431595488,0.382245582883716,1.8859522179583,1.79137582707107,1.57845907855235,2.09506619704256,1.53416581528683,1.6383926278071,2.30227449347851,2.02672702244107,2.09506619704256,1.63851622681068,1.53416581528683,2.02672702244107,1.6383926278071,2.30227449347851,2.14383396533865,2.74345644418042,2.14490360171934,1.57130933758761,2.09506619704256,1.63851622681068,1.53416581528683,2.02672702244107,1.6383926278071,2.30227449347851,2.14383396533865,2.74345644418042,2.14490360171934,1.57130933758761,2.74345644418042
"T. Müller FC Bayern Munich",2.78518870888439,0.488732565072688,2.46267066077498,2.62010435645085,0.601910152959831,0.269749935995836,0.818439006927418,0.642908987794338,2.06953693518329,2.21349181652404,2.21654483733035,2.30520742927198,1.32784904955925,2.62128980380964,1.01542300964796,-1.44523875765164,-1.15230248603534,0.11508365063139,1.09657481210837,1.07216897595212,1.79298223533667,2.78434929070696,1.22263220458063,1.92035286303761,1.96901018811947,0.866335492628741,-0.319246929169383,2.91320558798805,3.20297934052178,2.41631584765999,1.13943661880112,2.17612624315932,0.745456850459217,2.48912429081108,1.41552351209776,-0.112207927138967,2.59833125698786,2.19606027999456,2.62990312969558,2.24512711288005,2.72977220219343,2.71653847938118,2.93858570980285,2.62990312969558,3.1239597304517,2.24512711288005,2.93858570980285,2.72977220219343,2.71653847938118,2.6750842054117,2.60202095896431,2.5500555253246,2.99971239262505,2.62990312969558,3.1239597304517,2.24512711288005,2.93858570980285,2.72977220219343,2.71653847938118,2.6750842054117,2.60202095896431,2.5500555253246,2.99971239262505,2.60202095896431
"Diego Costa Chelsea",2.95061235888982,0.708120083916222,2.46267066077498,2.09759061290605,0.430995931547537,2.51258223933651,-0.741121312859463,-0.981811402744638,2.18606612802261,2.31260475695494,1.3182819859882,0.811481528967912,1.55187345573854,2.74820393801771,1.01542300964796,0.14580258797828,0.770668903173174,0.42268377855356,-0.810065103470233,0.146509332351294,1.88541500368375,1.17692307470396,-0.283861879436447,0.566758870370695,1.52355371775414,0.545918145972874,1.51622421214637,2.39412061152685,2.5632502339475,0.935013850520428,1.8839464902304,1.12202325256979,0.472590402999083,1.80376830841174,1.2276547976952,1.73224759141235,1.89224525581067,2.01960279386822,1.9613569638793,2.10293485336141,2.04765996820197,2.30227449347851,2.02672702244107,1.9613569638793,1.93560492753888,2.10293485336141,2.02672702244107,2.04765996820197,2.30227449347851,2.01102140532039,2.60202095896431,2.00985296051758,1.8569899485951,1.9613569638793,1.93560492753888,2.10293485336141,2.02672702244107,2.04765996820197,2.30227449347851,2.01102140532039,2.60202095896431,2.00985296051758,1.8569899485951,2.60202095896431
